右侧附件区稍高回声区	附件区高回声区
甲状腺峡部偏右侧及左叶实性结节(TI-RADS3类)	甲状腺结节 TI-RADS 3类
脾下缘旁等回声结节,副脾可能	副脾
左肝内偏低回声区	肝低回声区
右中肺及左下肺纯磨玻璃结节	肺磨玻璃结节
甲状腺右叶多发强回声斑,考虑钙化灶可能	甲状腺钙化灶
L5-S1椎间盘膨出	腰椎椎间盘膨出
左肾结石可能	肾结石
双乳腺体稍增厚	乳腺腺体增厚
子宫混合回声结节,考虑子宫肌瘤伴钙化	子宫肌瘤
甲状腺右侧可触及一结节、大小约0.8cm×0.6cm、质中、表面欠光滑、活动度尚可	甲状腺结节
双肺少量纤维小结节	肺纤维结节
B型预激综合征(右侧壁旁道可能)	B型预激综合征
甲状腺左叶无回声结节,考虑结节性甲状腺肿	结节性甲状腺肿
左上肺纤维化、钙化灶	肺纤维化、肺纤维灶
子宫腺肌增生症伴多发性子宫肌瘤	子宫肌瘤？
频发单源性室性早搏,呈四联律	室性早搏
双肺小结节	肺结节
甲状腺双侧叶多发实性结节(TI-RADS2类)	甲状腺结节 TI-RADS 2类
甲状腺部分切除术后,残余甲状腺回声增粗	甲状腺回声增粗
L3/4、L5/S1椎间盘轻度突出	腰椎间盘突出
考虑左肺下叶后基底段纤维机化灶	肺纤维灶
不均匀性脂肪肝	不均匀性脂肪肝
双肺结节病灶	肺结节
频发室性早搏二联律	室性早搏二联律
左肾实质多发高回声小结节,多发性肾错构瘤？	肾错构瘤？
ST段改变(II、III、aVF)	ST-T改变
双肺上叶继发性肺结核(以纤维化为主)并右上胸膜肥厚	继发型肺结核
眼睑双眼下睑倒睫	倒睫
肝内结节状低密度影	肝结节
右肺下叶磨玻璃小结节	肺磨玻璃结节
右肺中叶水平裂胸膜下少许慢性炎症性病灶	肺慢性炎症
宫腔内高回声结节,息肉？	子宫内膜息肉？
子宫腔内稍高回声结节,子宫内膜息肉？	子宫内膜息肉？
甲状腺右叶斑点状强回声,考虑钙化灶	甲状腺钙化灶
频发多源房性早搏,部分伴心室内差异性传导,偶见未下传	房性早搏
双侧颈内动脉颅底段粥样硬化	动脉粥样硬化
牛肉/羊肉+++	牛肉/羊肉阳性+
双侧筛窦、左侧上颌窦慢性炎症	鼻窦炎
主动脉瓣返流+++,二尖瓣返流+,三尖瓣返流+	二尖瓣反流、三尖瓣反流、主动脉瓣反流
左、右肝间偏右肝侧稍高回声结节,血管瘤？	肝血管瘤？
甲状腺右叶混合回声结节,考虑结节性甲状腺肿	结节性甲状腺肿
C3/4椎间盘突出(中央型)	颈椎间盘突出
分泌物色黄、少许豆渣样白带	阴道分泌物异常
甲状腺低回声结节(左叶多发),考虑结节性甲状腺肿	结节性甲状腺肿
乙肝e抗体定量降低	乙肝e抗体定量降低
残余甲状腺多发囊实性结节(TI-RADS3类)	甲状腺结节 TI-RADS 3类
左侧附件区无回声区,考虑卵泡	卵泡
右下肺陈旧病灶与前片相仿	肺陈旧性病灶
双侧颈动脉硬化左侧颈总动脉斑块形成	动脉硬化
腰椎退行性变,L5/S1椎间盘轻微突出	腰椎退行性变
双乳多发无回声结节,考虑囊性增生	乳腺结节
甲状腺右叶多发性结节,ACRTI-RADS3类	甲状腺结节 TI-RADS 3类
左侧颌下淋巴结肿大	颌下淋巴结肿大
双肾窦内回声增强	肾窦回声增强
多发性右肾囊肿伴部分囊壁钙化	肾囊肿
左侧胸膜轻度粘连	胸膜粘连
甲状腺实质回声稍增粗、不均	甲状腺回声增粗
右侧腋窝淋巴结肿大	腋窝淋巴结
右中上肺数个小结节	肺结节
左侧附件区混合回声结节	附件区结节
肝实质回声增粗伴右肝多发低回声结节,考虑慢性肝炎声像改变	肝回声增粗
外科既往史颈椎病	颈椎病
右肺中叶水平裂胸膜局限性结节状增厚	胸膜增厚
右肺上叶后段、下叶前基底段小结节	肺结节
多发性肝左叶囊肿	肝囊肿
分泌物淡粉色	阴道分泌物异常
双上胸膜肥厚、粘连	胸膜粘连
右膝关节外侧前后角及内侧后角半月板退变	膝关节退行性改变
甲状腺左叶实性结节伴点状钙化(TI-RADS3类)	甲状腺结节 TI-RADS 3类
分泌物黄绿色	阴道分泌物异常
甲状腺左叶下极低回声结节,TI-RADS3类	甲状腺结节 TI-RADS 3类
甲状腺双侧叶多发结节,考虑结节性甲状腺肿	结节性甲状腺肿
右肝内低回声区,不均匀脂肪肝？	脂肪肝
甲状腺实质回声增粗、不均匀,峡部增厚	甲状腺回声增粗
双侧颈动脉硬化伴左侧颈动脉窦部斑块形成	动脉硬化
右肾结石可能	肾结石
右肺上叶前段、中叶散在慢性炎症	肺慢性炎症
子宫腔内高回声结节,考虑子宫内膜息肉	子宫内膜息肉
右侧颈部颌下淋巴结可见	颈部淋巴结可见
双肺上叶慢性炎症性病变并右上胸膜增厚粘连,间隔旁肺气肿	肺气肿、胸膜增厚
右侧额部术后改变？右侧额叶软化灶形成	脑软化灶
风疹病毒IgM阳性	风疹病毒IgM阳性
白蛋白降低	白蛋白降低
L5/S1椎间盘退变伴凸出	腰椎间盘突出、腰椎退行性变
偶发房性早搏成对出现	房性早搏
双肾多发囊肿(部分囊肿伴囊壁钙化)	肾囊肿
双眼屈光不正(右眼轻度近视+散光,左眼中度近视)	屈光不正
右中下肺及左下肺少许陈旧病灶,继发性肺气肿,右中肺及左下肺继发性支气管轻度扩张	肺气肿、支气管扩张、肺陈旧性病灶
膀胱充盈欠佳,放弃检查	膀胱不充盈,放弃部分检查
慢性支气管炎、肺气肿、少量肺大泡,右中肺纤维小结节	慢性支气管炎、肺气肿、肺大泡、肺纤维结节
甲状腺右叶低回声结节(TI-RADS3类)	甲状腺结节 TI-RADS 3类
腰2椎体压缩性骨折行内固定术后复查所见	骨折
甲状腺体积增大、实质回声增粗	甲状腺回声增粗
胆囊多发息肉样病变	胆囊息肉
右肺下叶斑块病灶,拟炎性病变可能,结合临床抗炎后复查	肺炎性改变
右侧腋窝淋巴结可见	腋窝淋巴结
右侧附件区(子宫后方)无回声区,考虑卵巢囊肿	卵巢囊肿
甲状腺左叶下极低回声结节伴钙化,TI-RADS4B类	甲状腺结节 TI-RADS 4b类
左侧乳腺多发低回声结节,考虑纤维腺瘤可能	乳腺纤维瘤？、乳腺结节
HPV阳性	HPV阳性
双侧附件区无回声区	卵巢囊肿？
右肾缺如	右肾缺如
右中下肺及左下肺散在实性小结节	肺结节
左肝低密度影	肝低密度影
自诉甲状腺囊肿术后	甲状腺囊肿
主动脉硬化,升主动脉内径增宽	动脉硬化
颈椎退行性变、C5/6、C6/7椎间盘轻度突出	颈椎间盘突出、颈椎退行性改变
右肾多发无回声区,考虑肾钙乳症	肾钙乳症
甲状腺实质回声增粗伴多发低回声结节	甲状腺回声增粗
右肝高回声结节(肝血管瘤？)	肝血管瘤？
双肺尖部胸膜增厚粘连	胸膜增厚
双侧乳腺低回声结节(右乳多发),其中右乳大者结节考虑纤维腺瘤可能	乳腺纤维瘤？、乳腺结节
左肺下舌段少许陈旧病灶	肺陈旧性病灶
右肺中下叶微小结节	肺结节
左侧乳腺9点处实性结节(BI-RADS3类)	乳腺结节 BI-RADS 3类
肝左外叶等回声结节,考虑良性病变	肝良性病变
右下肺胸膜下少许纤维机化灶	肺纤维灶
双肺上叶轻度肺气肿	肺气肿
腰3-5及骶1椎体轻度骨质增生	腰椎骨质增生
左肺下叶多发粟粒样结节	肺结节
左肺上叶索条影及斑片状高密度影,考虑肺结核可能	肺结核
肝右叶内低回声区,局灶性肝脂肪浸润缺失？	局灶性脂肪肝？
耳右侧耵聍栓塞、左侧鼓膜内陷	鼓膜内陷
二尖瓣返流++	二尖瓣反流
游离T3增高	游离T3增高
右侧放射冠区脑梗塞	脑梗塞
右肺尖少许肺大泡	肺大泡
主动脉及冠状动脉粥样硬化	动脉粥样硬化
右肺中、下叶少许慢性炎症	肺慢性炎症
右肝内低回声区,肝血管瘤？局灶性肝脂肪浸润缺失？	肝血管瘤？
甲状腺峡部低回声结节,ACRTI-RADS3类	甲状腺结节 TI-RADS 3类
甲状腺左叶下极低回声结节伴钙化	甲状腺结节
胆囊壁稍毛糙	胆囊壁毛糙
粒细胞计数增高	粒细胞计数增高
左肺上叶前段陈旧性病灶	肺陈旧性病灶
肝右叶高回声结节	肝结节
右肝内高回声结节,增生结节？	肝结节
右肺上叶、中叶、左肺下叶慢性炎症	肺慢性炎症
甲状腺右叶中部低回声结节,腺瘤？	甲状腺腺瘤？
子宫颈分布不均伴潴留囊肿	子宫颈潴留囊肿
两肺上叶多发小结节,随访	肺结节
肝左内叶高回声结节,考虑肝血管瘤	肝血管瘤
膀胱未充盈,放弃检查	膀胱不充盈,放弃部分检查
右肺上叶前段小斑片结节影,考虑感染所致	肺结节
肝内稍低密度影	肝低密度影
甲状腺左叶低回声结节,性质待定	甲状腺结节
肝脏稍低密度影	肝低密度影
子宫略大、触及不规则突起	子宫略大
右肺尖部少许纤维机化灶	肺纤维灶
L5椎体下缘许莫氏结节形成	许莫氏结节
甲状腺右叶下部低回声结节伴粗大钙化,TI-RADS3类	甲状腺结节 TI-RADS 3类
残余甲状腺右叶多发低回声结节	甲状腺结节
颈椎失稳,C4椎体向后轻度滑移	颈椎失稳
颈椎退行性变,C3-4、C4-5椎间盘膨出,C5-6椎间盘突出(中央型)并椎管狭窄	颈椎间盘突出、颈椎退行性改变、颈椎椎管狭窄
尿真菌阳性	尿真菌阳性
耳左耳外耳道湿疹	湿疹
右侧乳腺多发无回声区,考虑囊性增生	乳腺囊性增生
频发多源室性早搏,时呈二联律,偶成对,偶见室性融合波	室性早搏
甲状腺左叶中部背侧低回声结节,TI-RADS4A类	甲状腺结节 TI-RADS 4a类
脾轻度肿大	扁桃体肿大
部分导联T波改变	T波改变
双侧胸膜肥厚	胸膜肥厚
右肺中叶粟粒样结节,右肺中下叶少许慢性炎症	肺结节
肝内多发低回声区,考虑局灶性肝脂肪浸润缺失	脂肪肝
双肺下叶微小结节,较前(2017-10-27)大致相仿	肺结节
右上肺继发型肺结核(纤维化、钙化为主)	继发型肺结核
右肺中叶、下叶纤维机化灶	肺纤维灶
肝左内叶低回声区,考虑局灶性肝脂肪浸润缺失	脂肪肝
左肺舌段少许纤维机化灶	肺纤维灶
右肾实质内多发高回声结节,考虑肾错构瘤	肾错构瘤？
扫及肝脏多发低密度灶	肝低密度灶
右肾偏小	肾偏小
双肺上叶多发微小结节	肺结节
甲状腺实质回声增粗不均	甲状腺回声增粗
右上肺孤立性肺大泡,右中肺纤维小结节	肺大泡、肺纤维结节
HPV58阳性	HPV58阳性
左侧胸膜增厚粘连伴钙化,左下肺少许陈旧性病灶	胸膜增厚、肺陈旧性病灶
慢性支气管炎、肺气肿、右下肺肺大泡	慢性支气管炎、肺气肿、肺大泡
右肺上叶肺大泡	肺大泡
双肺散在少许纤维机化灶,较2017-6-3片相仿	肺纤维灶
双肺多发磨玻璃结节	肺磨玻璃结节
右上肺小钙化灶,纵隔淋巴结钙化	肺钙化灶
右肝内高回声结节,性质待定	肝结节
甲状腺右侧叶等回声结节,考虑甲状腺腺瘤	甲状腺腺瘤
右肝内高回声结节,肝血管瘤？	肝血管瘤？
右侧附件区高回声结节,黄体囊肿出血？	黄体出血？
主动脉瓣钙化伴返流+~++	主动脉瓣钙化
肝S6段稍低密度灶	肝低密度灶
两侧上颌窦、筛窦及左侧蝶窦慢性炎症	鼻窦炎
考虑左侧上颌窦粘膜下囊肿	上颌窦囊肿
甲状腺右侧叶多发低回声结节,瘤样甲状腺肿可能,大者结节腺瘤待排除	甲状腺腺瘤
颈椎轻度退行性改变,C3/4、C4/5、C5/6椎间盘突出	颈椎间盘突出、颈椎退行性改变
左侧第10、11后肋骨折	骨折
C4/5椎间盘轻度突出	颈椎间盘突出
肺通气功能检查①轻度限制性通气功能障碍,伴中度小气道阻塞性通气功能障碍	肺通气功能障碍
甲状腺左叶低回声结节伴钙化,考虑MT	甲状腺MT待排
右肺上叶纤维化、钙化灶	肺纤维化、肺钙化灶、肺纤维灶
颈3-6椎体轻度骨质增生,颈4-5、5-6右侧椎间孔变小	颈椎骨质增生
双侧颈动脉、双侧椎动脉轻度硬化	颈动脉硬化
腰椎骨质增生及腰4-5椎间隙稍变窄	腰椎骨质增生
左肝内叶低回声区,考虑局灶性肝脂肪浸润缺失	脂肪肝
左肺下舌段及左肺门钙化灶	肺钙化灶
肝脏数个小囊肿	肝囊肿
左侧乳腺局部导管扩张伴导管内结节(BI-RADS3类-考虑导管内乳头状瘤)	乳腺结节 BI-RADS 3类
右肝内高回声结节,增生结节？肝血管瘤？	肝血管瘤？
子宫多发低回声结节,考虑多发性子宫肌瘤	子宫肌瘤？
甲状腺实质回声增粗伴甲状腺多发结节	甲状腺回声增粗
胆囊底部实性结节伴钙化(腺肌增生症？),结合病史	胆囊肌腺症
鼻中隔偏曲	鼻中隔偏曲
部分导联T波改变	T波改变
扫及双侧上颌窦、筛窦及蝶窦炎症	鼻窦炎
双侧乳腺实性结节,左乳结节伴钙化(BI-RADS3类)	乳腺结节 BI-RADS 3类
上矢窦旁小脂肪瘤	脂肪瘤
中度宫颈柱状上皮异位	宫颈柱状上皮异位
双侧乳腺囊性结节(BI-RADS2-3类)	乳腺结节 BI-RADS 3类
颈椎退行性变,C3/4、C4/5、C5/6、C6/7椎间盘轻度突出	颈椎间盘突出、颈椎退行性改变
右侧乳腺低回声结节,增生结节？	乳腺增生
左肺尖小点状钙化灶	肺钙化灶
双侧筛窦炎性改变	筛窦炎
全组副鼻窦炎、鼻炎、左上颌窦粘膜下囊肿	鼻窦炎、鼻炎
甲状腺峡部及左叶囊实性结节、右叶实性结节(TI-RADS3类)	甲状腺结节 TI-RADS 3类
左肺下叶外基底段磨玻璃小结节	肺磨玻璃结节
双侧乳腺等回声结节(BI-RADS3类)	乳腺结节 BI-RADS 3类
右肾中盏点状强回声(结石？)	肾结石
胃蛋白酶原PGⅡ增高	胃蛋白酶原PGⅡ增高
甲状腺右叶中部低回声结节伴钙化,TI-RIDS4B	甲状腺结节 TI-RADS 4b类
颈4-6椎体骨质增生及颈4-5椎间隙变窄	骨质增生
考虑慢性支气管炎、双肺尖少许肺大泡	慢性支气管炎、肺大泡
考虑为左心阻塞性病变(为二尖瓣狭窄)	二尖瓣狭窄
左侧腹股沟淋巴结可见	腹股沟淋巴结可见
癌胚抗原定量(免疫)增高	癌胚抗原定量增高
左肾小结石？	肾结石
多囊肝	多囊肝
左侧附件区无回声区,考虑左侧卵巢巧克力样囊肿	卵巢巧克力样囊肿
右肺上叶陈旧性病灶,左肺下叶肺大泡	肺大泡、肺陈旧性病灶
甲状腺右叶近等回声团,腺瘤？	甲状腺腺瘤
自诉甲状腺右叶射频消融术后	甲状腺术后
左肾盂分离	肾囊肿
双额叶、双侧基底节区腔隙性脑梗死	腔隙性脑梗死
甲状腺左侧叶低回声结节,结节性甲状腺肿？	结节性甲状腺肿？
双肺尖部少许肺大泡	肺大泡
颈椎退行性改变,C3-4、C4-5椎间盘突出(中央型)	颈椎间盘突出、颈椎退行性改变
残余甲状腺左叶多发结节,考虑结节性甲状腺肿	结节性甲状腺肿
双肾实质内稍高回声结节,考虑肾错构瘤	肾错构瘤？
右侧乳腺多发结节,考虑纤维腺瘤	乳腺纤维瘤
左上肺继发型肺结核可能(纤维化为主)并部分支气管扩张、胸膜增厚粘连、左肺气肿	肺气肿、支气管扩张、继发型肺结核
眼底照相提示双眼视网膜动脉硬化1级	动脉硬化
钾增高	钾增高
右侧附件区高回声结节,考虑畸胎瘤	卵巢畸胎瘤
右侧肩峰骨质增生	骨质增生
左肺上叶舌段及下叶后基段、右肺中叶内侧段慢性炎症	肺慢性炎症
右肝胆囊旁低回声区,局灶性肝脂肪浸润缺失？肝血管瘤？	肝血管瘤？
右上肺胸膜下多发肺大泡	肺大泡
左肝内高回声结节,考虑肝血管瘤可能	肝血管瘤？
颈4-6椎体轻度骨质增生及颈5-6椎间隙变窄	骨质增生
两上肺及右下肺少许肺大泡	肺大泡
左额叶及左侧基底节区少许缺血灶	脑缺血灶
甲状腺左叶触及一结节,大小约1.3cm×0.9cm,质中,无压痛	甲状腺结节
主动脉窦部增宽,主动脉瓣钙化	主动脉瓣钙化
右肾未探及,右肾缺如？	右肾未探及
右侧乳腺多发囊性结节	乳腺囊性结节
右侧乳腺低至无回声结节,增生结节？	乳腺结节
膀胱不充盈,体检者自愿放弃膀胱、前列腺项目检查	膀胱不充盈
左肾实质内稍高回声结节(肾错构瘤？)	肾错构瘤？
氧氟沙星增高	氧氟沙星增高
右肾稍增大(代偿性)	肾代偿性增大
胆囊附壁高回声斑,胆囊息肉样病变？	胆囊息肉？
双侧筛窦、蝶窦炎症	鼻窦炎
右肝高回声结节,考虑良性结节	肝结节
左上肺少许钙化灶及纤维化	肺纤维化、肺部钙化灶、肺纤维灶
双侧乳腺结节样增生	乳腺增生
L5双侧椎弓峡部裂伴椎体向前Ⅰ°滑脱	腰椎滑脱
主动脉瓣关闭不全(返流+++)	主动脉瓣关闭不全
